Word	Part-Of-Speech	Weight	Frequency
人类	n	85.63	248
基因	n	83.96	229
贺建奎	nr	83.26	60
基因编辑	n_new	79.85	216
什么	n_new	61.04	137
婴儿	n	55.86	354
孩子	n	52.49	278
没有	v	52.04	105
可以	v	47.84	83
可能	n	43.26	85
技术	n	39.12	84
国家	n	36.11	61
出来	vf	32.52	69
应该	v	30.97	71
研究	v	30.75	43
科学	n	30.52	65
伦理	n	29.68	68
实验	n	28.60	53
法律	n	28.37	45
知道	v	27.30	140
编辑	n	27.13	68
社会	n	26.69	37
科技	n	26.59	36
问题	n	26.49	57
中国	ns	25.60	32
评论	n	25.35	48
世界	n	24.72	41
科学家	n	24.20	33
生育	v	24.20	48
科研	n	24.13	41
影响	vn	23.12	38
道德	n	23.08	57
无法	v	22.53	29
需要	v	22.45	25
希望	v	22.16	58
生命	n	21.96	54
保护	v	21.93	38
生物	n	20.67	25
改变	v	20.66	34
觉得	v	20.52	66
基因库	n_new	20.28	22
人类基因库	n_new	20.10	31
    	n	19.98	35
新闻	n	19.82	25
污染	vn	19.72	48
危害	vn	19.56	27
后果	n	19.26	33
底线	n	19.09	51
伦理道德	n_new	19.02	35
自然	n	18.85	27
医学	n	18.82	37
出现	v	18.75	27
非法行医	n_new	18.58	43
基因突变	n_new	18.41	17
时间	n	18.14	24
死刑	n	18.09	18
电影	n	18.02	22
医生	n	18.02	28
进行	vx	17.96	18
结果	n	17.66	28
处理	v	17.58	38
违反	v	17.56	33
疾病	n	17.10	23
父母	n	17.05	21
还有	v	17.00	23
变异	v	16.97	25
绝育	v	16.96	20
犯罪	vn	16.94	20
小孩	n	16.88	34
超能力	n_new	16.76	8
发展	vn	16.73	25
出生	vi	16.73	39
就是	v	16.41	27
结婚	vi	16.25	22
禁止	v	16.16	25
后代	n	16.09	27
继续	v	15.29	18
感觉	n	15.26	40
成为	v	15.09	22
肯定	vn	15.08	23
长大	vi	14.62	33
看到	v	14.39	14
突破	vn	14.36	15
事情	n	14.32	41
支持	vn	14.30	32
判刑	vi	14.23	23
终身	n	14.15	19
生活	vn	14.12	21
进步	vn	14.03	24
追究刑事责任	n_new	13.69	11
人道毁灭	n_new	13.66	12
维德	nrf	13.63	3
相关	vi	13.63	20
记得	v	13.56	22
媒体	n	13.50	13
结婚生子	n_new	13.45	19
医疗	n	13.40	14
报道	v	13.39	16
能力	n	13.39	20
存在	v	13.34	17
是否	v	13.29	18
改造	vn	13.25	19
一生	n	13.25	19
转基因	n	12.90	9
评论区	n_new	12.63	4
安乐死	v	12.62	13
什么意思	n_new	12.59	8
行为	n	12.57	26
东西	n	12.56	16
受到	v	12.54	11
教授	n	12.53	13
学术	n	12.50	12
处罚	v	12.50	12
了解	v	12.47	12
关心	v	12.44	11
造成	v	12.41	14
敬畏	v	12.39	25
违背	v	12.38	15
事件	n	12.37	12
已经	d	12.37	58
一个	mq	12.37	82
认为	v	12.36	14
免疫	vn	12.36	14
选择	v	12.34	15
科幻	n	12.32	24
方面	n	12.18	19
打开	v	12.16	28
情况	n	12.15	19
开始	vn	11.81	17
发生	v	11.66	15
时代	n	11.61	13
国际	n	11.58	10
后续	v	11.55	16
遗传	vn	11.51	13
南科大	n_new	11.51	8
人体	n	11.50	11
我国	n	11.47	10
历史	n	11.47	10
能够	v	11.46	10
消息	n	11.43	11
在于	v	11.43	14
变成	v	11.42	12
以为	v	11.41	13
美国	nsf	11.40	11
未知	vn	11.38	16
起来	vf	11.36	11
治疗	v	11.30	13
负责任	n_new	10.89	5
老师	n	10.71	12
未来	t	10.70	53
中国科学界	n_new	10.70	4
放出来	n_new	10.69	4
毁灭	v	10.68	12
还是	d	10.67	39
想想	v	10.60	11
个人	n	10.59	9
拥有	v	10.59	9
控制	v	10.59	12
工作	vn	10.56	10
判	v	10.55	210
下去	vf	10.55	10
监视	v	10.53	11
好像	v	10.53	8
接受	v	10.51	10
生下来	n_new	10.49	14
想到	v	10.48	20
知识	n	10.47	9
估计	v	10.47	9
明白	v	10.47	9
承担	v	10.43	11
公开	v	10.43	15
重点关注	n_new	10.37	3
科研成果	n_new	10.37	3
秘密实验	n_new	10.36	3
生殖	vn	10.35	17
终身监禁	n_new	10.34	10
允许	v	10.30	25
可怜	v	10.28	38
造福人类	n_new	10.23	7
活下来	n_new	10.20	4
违反自然规律	n_new	10.19	4
烧死	n_new	10.15	8
判死刑	n_new	10.09	9
实验品	n_new	10.08	7
艾滋	nr2	9.95	11
健康	ad	9.85	32
脱靶	v	9.80	7
带来	v	9.69	16
考虑	v	9.67	9
机构	n	9.64	10
正常人	n	9.64	10
公布	v	9.60	10
人权	n	9.60	10
细思极恐	n_new	9.57	15
富人	n	9.52	8
博士	n	9.51	7
全世界	n	9.51	7
无辜	n	9.51	25
所谓	v	9.50	9
时候	n	9.49	34
监控	vn	9.49	10
出狱	vi	9.49	10
资格	n	9.46	11
不可	v	9.45	8
只能	v	9.45	8
监管	v	9.45	8
限制	vn	9.45	8
打破	v	9.45	8
算是	v	9.45	8
胚胎	n	9.45	10
隐私	n	9.42	18
决定	v	9.33	9
成长	vi	9.33	11
受害者	n	9.33	13
完善	v	9.31	11
人伦	n	9.29	11
缺陷	n	9.13	14
微博	n_new	8.76	6
不能	v	8.73	15
违背伦理	n_new	8.70	10
风险	n	8.69	11
宝宝	n	8.69	11
整个人类	n_new	8.67	12
解决	v	8.65	8
惩罚	vn	8.62	9
进化	vi	8.62	12
基因池	n_new	8.57	4
得到	v	8.56	7
诞生	vi	8.56	7
牺牲	v	8.56	7
艾滋病	n	8.56	7
物种	n	8.56	7
圣母	n	8.56	7
意思	n	8.55	18
毫无	v	8.51	8
人生	n	8.51	16
地方	n	8.50	9
导致	v	8.49	11
获得	v	8.47	6
培养	v	8.47	6
家庭	n	8.47	6
用于	v	8.47	6
考试	vn	8.47	6
高中	n	8.47	6
自然选择	nl	8.47	6
疯子	n	8.47	10
项目	n	8.46	10
利益	n	8.44	13
发现	v	8.43	11
负责	v	8.40	7
动物	n	8.40	7
伤害	vn	8.40	7
严惩	v	8.38	14
医院	n	8.38	9
来说	vi	8.32	8
地球	n	8.32	8
序列	n	8.32	8
利益面前	n_new	8.26	3
生育权	n_new	8.26	3
什么样	n_new	8.26	3
么	nr1	8.21	341
人民医院	n_new	8.08	4
现在	t	8.07	51
可怕	a	7.87	73
一	m	7.86	185
尊重生命	n_new	7.83	12
课代表	n_new	7.76	2
代表出来	n_new	7.76	2
孩子今后	n_new	7.76	2
身上使用	n_new	7.76	2
后果难以	n_new	7.76	2
没有损害	n_new	7.76	2
不良影响	n_new	7.76	2
负面影响	n_new	7.76	2
自然淘汰	n_new	7.76	2
延续下去	n_new	7.76	2
技术职称	n_new	7.76	2
可以感染	n_new	7.76	2
变成超人	n_new	7.76	2
鬼知道	n_new	7.76	2
医学伦理学	n_new	7.76	2
建议	n	7.73	10
犯罪成本	n_new	7.66	9
科研工作者	n_new	7.61	3
剥夺	v	7.60	7
牛逼	n_new	7.57	6
成果	n	7.54	7
重点	n	7.52	8
热搜	n_new	7.49	6
措施	n	7.48	6
反对	v	7.48	6
现有	v	7.48	6
身体	n	7.48	6
担心	v	7.48	6
细胞	n	7.48	6
刑法	n	7.48	6
歧视	v	7.48	6
心疼	v	7.48	6
罚金	n	7.48	6
结扎	v	7.48	6
调整者	n_new	7.46	4
超级人类	n_new	7.46	4
人性	n	7.45	9
全人类	n	7.44	7
办法	n	7.38	8
组织	n	7.38	5
实现	v	7.38	5
魔鬼	n	7.38	7
规定	n	7.38	5
产生	v	7.38	5
讨论	v	7.38	5
应当	v	7.38	5
大学	n	7.38	5
值得	v	7.38	5
立法	vn	7.38	5
经费	n	7.38	5
罚款	n	7.38	5
同学	n	7.38	5
解释	vn	7.38	5
观察	v	7.38	5
承受	v	7.38	5
销毁	v	7.38	5
语文	n	7.38	5
上帝	n	7.38	5
杀人	vi	7.38	5
罪名	n	7.38	5
医学界	n	7.38	5
遗传病	n	7.38	5
看来	v	7.37	7
可以拍	n_new	7.36	5
盒子	n	7.31	9
关系	n	7.30	6
管理	vn	7.30	6
利用	v	7.30	6
违法	vd	7.30	6
挑战	vn	7.30	6
防止	v	7.30	6
涉及	v	7.30	6
手术	n	7.30	6
悲剧	n	7.30	6
张仁礼	nr	7.30	4
区别	n	7.24	8
试验品	n	7.24	9
目的	n	7.22	7
权利	n	7.14	11
安全	an	7.14	16
表示	vn	6.99	9
正常	a	6.76	27
回复	v	6.63	11
比如	v	6.58	7
尊重	v	6.53	16
变种	n	6.52	8
宣判	v	6.52	29
节奏	n	6.50	6
概率	n	6.50	6
母亲	n	6.50	4
老百姓	nt	6.50	4
责任	n	6.49	21
约束	vn	6.48	7
恐怖	an	6.46	28
方法	n	6.43	6
判决	vn	6.43	6
寿命	n	6.43	6
人才	n	6.36	5
使用	vn	6.35	5
证明	v	6.35	5
找到	v	6.35	5
修改	v	6.35	5
威胁	vn	6.35	5
愿意	v	6.35	5
对象	n	6.35	5
看看	v	6.35	5
感染	v	6.35	5
当做	v	6.35	5
繁殖	vn	6.35	5
题目	n	6.35	5
下一代	n	6.35	5
配偶	n	6.35	5
重罚	vn	6.35	5
超人	n	6.35	5
追名逐利	vl	6.35	5
克隆	v	6.32	7
穷人	n	6.32	7
可能性	n	6.32	5
理解	vn	6.31	6
小说	n	6.30	8
科学狂人	n_new	6.30	3
事儿	n	6.26	7
文化	n	6.25	6
关注	vn	6.24	6
专业	n	6.24	6
做出	v	6.24	6
想象	v	6.24	6
提出	v	6.22	4
人们	n	6.22	4
世纪	n	6.22	4
理论	n	6.22	4
进入	v	6.22	4
系统	n	6.22	4
领域	n	6.22	4
过去	vf	6.22	4
内容	n	6.22	4
学校	n	6.22	4
结束	v	6.22	4
资本	n	6.22	4
探索	v	6.22	4
外国	n	6.22	4
文章	n	6.22	4
运用	v	6.22	4
试验	vn	6.22	4
思考	vn	6.22	4
谴责	v	6.22	4
大众	n	6.22	4
检测	v	6.22	4
生长	v	6.22	4
情节	n	6.22	4
翻译	vn	6.22	4
消灭	v	6.22	4
理性	n	6.22	4
脑子	n	6.22	4
繁衍	vn	6.22	4
明知	v	6.22	4
交代	v	6.22	4
叫好	vi	6.22	4
小孩子	n	6.22	4
自然人	n	6.22	4
双胞胎	n	6.22	4
存活	vi	6.22	4
娜娜	nr2	6.22	4
代价	n	6.20	7
治愈	v	6.19	8
繁衍后代	n_new	6.17	4
一堆	n_new	6.17	4
罪	n	6.14	41
教育	vn	6.14	5
实施	v	6.13	5
保障	vn	6.13	5
普通人	n	6.13	5
试管婴儿	n	6.13	5
想起	v	6.08	12
下来	vf	6.08	8
罪犯	n	6.06	6
严重	ad	6.05	18
生	v	6.05	37
必须	d	6.04	17
三观	n_new	5.95	3
转基因食品	n_new	5.95	3
丧尸	n_new	5.95	3
人体实验	n_new	5.95	3
背锅	n_new	5.95	3
特么	n_new	5.95	3
   	n	5.95	3
追逐名利	n_new	5.95	3
知情权	n_new	5.95	3
报复社会	n_new	5.95	3
科研人员	n_new	5.95	3
直接	ad	5.87	13
违法违规	n_new	5.84	4
罚	v	5.83	24
算	v	5.67	24
魔盒	n_new	5.51	20
            	n	5.51	6
说不定	vl	5.45	8
营销	vn	5.44	10
安全性	n	5.42	4
告诉	v	5.36	7
灭亡	vi	5.36	7
确实	ad	5.36	13
一下	mq	5.35	23
患者	n	5.33	5
自由	an	5.33	10
亵渎	v	5.30	5
尼玛	ns	5.26	2
朋友	n	5.26	6
理应	vd	5.26	6
应用	v	5.25	5
论文	n	5.25	5
智商	n	5.25	5
重大	a	5.24	9
人员	n	5.14	4
原因	n	5.14	4
检查	vn	5.14	4
范围	n	5.14	4
价值	n	5.14	4
现实	n	5.14	4
机会	n	5.14	4
因素	n	5.14	4
手段	n	5.14	4
掌握	v	5.14	4
公民	n	5.14	4
遵守	v	5.14	4
淘汰	v	5.14	4
震惊	v	5.14	4
改编	v	5.14	4
游戏	n	5.14	4
处置	vn	5.14	4
逻辑	n	5.14	4
案例	n	5.14	4
罪行	n	5.14	4
害怕	v	5.14	4
生病	vi	5.14	4
案子	n	5.14	4
定义	v	5.14	4
伦理学	n	5.14	4
杀死	v	5.14	4
犯法	vi	5.14	4
新生儿	n	5.14	4
露露	v	5.14	4
真	a	5.13	114
过程	n	5.12	8
代表	v	5.11	5
方式	n	5.11	5
其实	d	5.03	16
同意	v	5.03	5
不知	v	5.03	5
有期徒刑	nl	5.03	5
坏事	n	5.03	5
知情	vi	5.03	5
共识	n	4.99	9
政府	n	4.96	3
公司	n	4.96	3
单位	n	4.96	3
结合	vn	4.96	3
实践	vn	4.96	3
专家	n	4.96	3
达到	v	4.96	3
创造	vn	4.96	3
帮助	v	4.96	3
执行	v	4.96	3
体系	n	4.96	3
系列	n	4.96	3
参与	v	4.96	3
宣布	v	4.96	3
适应	v	4.96	3
创新	vn	4.96	3
鼓励	v	4.96	3
态度	n	4.96	3
进展	vn	4.96	3
走向	v	4.96	3
成本	n	4.96	3
追求	v	4.96	3
功能	n	4.96	3
事实	n	4.96	3
法院	n	4.96	3
舆论	n	4.96	3
个体	n	4.96	3
不得	vi	4.96	3
破坏	v	4.96	3
收到	v	4.96	3
能否	v	4.96	3
前提	n	4.96	3
垃圾	n	4.96	3
英雄	n	4.96	3
出台	vi	4.96	3
荣誉	n	4.96	3
制止	v	4.96	3
病人	n	4.96	3
人人	n	4.96	3
好处	n	4.96	3
跨越	v	4.96	3
流入	vn	4.96	3
怀疑	v	4.96	3
隐患	n	4.96	3
金钱	n	4.96	3
弥补	v	4.96	3
跟踪	v	4.96	3
滥用	v	4.96	3
携带	v	4.96	3
曝光	vi	4.96	3
反思	v	4.96	3
小朋友	n	4.96	3
是非	n	4.96	3
