Word	Part-Of-Speech	Weight	Frequency
基因	n	37.52	65
人类	n	32.64	49
什么	n_new	24.64	42
可以	v	20.91	31
艾滋	nr	20.60	6
实验	v	19.30	39
可能	v	17.18	21
技术	n	17.04	20
支持	v	16.25	17
知道	v	15.99	23
出现质量问题	n_new	14.56	3
污染基因库	n_new	14.55	3
孩子	n	14.46	29
    	n	13.89	10
进行cCR5编辑	n_new	13.80	4
基因池	n_new	12.63	4
出现	v	11.67	12
觉得	v	11.47	17
伦理	n	11.46	10
中国	ns	11.40	10
问题	n	11.20	17
世界	n	10.63	10
治疗	v	10.59	9
开始	v	10.53	8
改造	vn	10.53	12
小轩	nr	9.65	2
遗传病	n	9.60	10
变异	n	9.55	9
出来	vf	9.49	10
就是	v	8.65	8
生物	n	8.56	7
疾病	n	8.56	7
感染	v	8.51	8
婴儿	n	8.51	8
应该	v	8.50	9
反对	v	8.45	9
编辑	n	8.40	12
进行	vx	8.38	9
起来	vf	8.33	9
观点	n	8.33	9
笑死	n_new	8.26	3
国外早就	n_new	8.26	3
没有	d	7.92	20
基因编辑	n_new	7.80	6
利用基因	n_new	7.76	2
地球资源	n_new	7.76	2
自然变异	n_new	7.76	2
正常人类	n_new	7.76	2
动物身上	n_new	7.76	2
高中生物	n_new	7.76	2
免疫艾滋病毒	n_new	7.76	2
医生	n	7.67	5
魔盒	n_new	7.62	5
科学家	n	7.55	11
造成	v	7.48	6
生命	n	7.48	6
牛逼	n_new	7.46	4
评论	vn	7.38	5
机器人	nt	7.38	5
病毒	n	7.38	5
试管婴儿	n	7.38	5
方面	n	7.30	6
影响	vn	7.30	6
回复	v	7.10	75
一个	mq	6.97	27
希望	n	6.44	9
科技	n	6.43	6
发生	v	6.43	6
能力	n	6.43	6
克隆	vn	6.43	6
家庭	n	6.42	7
试验	vn	6.42	7
接受	v	6.35	5
还有	v	6.35	5
进步	vn	6.35	5
汽车	n	6.35	5
费用	n	6.35	5
结婚	vi	6.35	5
小孩	n	6.35	5
缺陷	n	6.32	7
改变	v	6.22	4
选择	v	6.22	4
