Word	Part-Of-Speech	Weight	Frequency
负责	v	70.86	557
贺建奎	nr	56.09	23
人类	n	49.70	106
什么	n_new	49.36	235
基因	n	47.46	123
孩子	n	41.15	217
没有	v	40.28	76
实验	vn	37.28	83
可能	v	30.91	42
可以	v	30.02	45
露娜	nrf	29.00	12
问题	n	26.88	63
研究	vn	26.65	37
科学家	n	25.65	35
应该	v	24.07	38
基因编辑	n_new	21.57	24
国家	n	21.48	25
中国	ns	20.86	30
影响	v	20.57	25
责任	n	19.20	50
社会	n	18.92	19
后代	n	18.23	39
艾滋病	n	17.94	19
编辑	n	17.09	21
继续	v	16.96	20
生命	n	16.93	29
贺教授	n_new	16.84	7
技术	n	16.29	21
生物	n	16.25	17
法律	n	16.22	20
疾病	n	16.12	19
觉得	v	15.89	30
无法	v	15.26	16
出来	vf	15.21	24
改变	vn	15.13	23
知道	v	14.65	44
道歉	vi	14.61	19
就是	v	14.51	18
还有	v	14.36	14
后果	n	13.27	19
婴儿	n	13.25	19
研究对象	n_new	12.63	4
改基因	n_new	12.63	4
希望	v	12.61	17
出生	vi	12.59	21
看看	v	12.48	10
伦理	n	12.41	17
世界	n	12.37	19
父母	n	12.37	17
生活	vi	12.34	19
能力	n	12.10	17
起来	vf	11.75	35
承担	v	11.61	15
毫无	v	11.57	10
试验品	n	11.53	15
结婚生子	n_new	11.51	8
监狱	n	11.50	17
    	n	11.50	18
生育	vn	11.48	12
遗传	vn	11.48	12
风险	n	11.43	15
底线	n	11.36	25
全人类	n	11.29	12
控制	v	11.26	18
道德底线	n_new	11.24	6
露露	v	11.22	40
愿意	v	10.85	14
结婚	vi	10.83	18
成为	v	10.81	12
发生	v	10.71	13
感觉	n	10.71	13
出现	v	10.59	9
开始	v	10.54	11
全世界	n	10.49	12
家庭	n	10.44	10
人体实验	n_new	10.35	9
行为	n	10.35	12
以为	v	10.34	22
污染	vn	10.32	14
人类基因池	n_new	10.29	9
伦理道德	n_new	10.24	10
一生	n	10.23	21
整个人类	n_new	10.21	10
一个	mq	10.18	75
孩子长大	n_new	9.81	8
科技	n	9.76	11
事情	n	9.64	19
处理	v	9.62	9
违背	v	9.62	9
疯子	n	9.53	12
利益	n	9.52	7
道德	n	9.50	14
需要	v	9.49	10
么	nr1	9.49	266
垃圾	n	9.47	12
科研	n	9.38	10
时候	n	9.20	29
实验品	n_new	8.85	7
人道毁灭	n_new	8.85	5
基因突变	n_new	8.85	5
未知	vn	8.73	10
发展	v	8.71	11
试验	vn	8.67	9
人类基因库	n_new	8.66	7
支持	v	8.65	8
相关	vn	8.65	8
产生	v	8.62	10
人体	n	8.60	8
科学	a	8.58	26
意义	n	8.58	9
解决	v	8.56	7
关注	vn	8.56	7
东西	n	8.56	7
承受	vn	8.56	7
后续	vn	8.56	7
改造	v	8.50	9
考虑	v	8.47	6
导致	v	8.47	6
电影	n	8.47	6
脱靶	v	8.47	6
进行	vx	8.40	7
看到	v	8.40	7
确定	v	8.40	7
坐牢	vi	8.40	7
进步	vn	8.38	10
教授	n	8.32	13
已经	d	8.29	24
人生	n	8.28	39
想想	v	8.27	8
人性	n	8.26	12
时间问题	n_new	8.26	2
科学狂人	n_new	7.79	4
继续培养	n_new	7.76	2
一起承担	n_new	7.76	2
造人类	n_new	7.76	2
基因缺陷	n_new	7.76	2
实验对象	n_new	7.62	5
敲掉	n_new	7.62	5
下一代	n	7.61	9
转基因	n	7.60	7
来说	vi	7.58	9
权利	n	7.57	8
救世主	n	7.57	8
存在	v	7.54	7
突破	v	7.54	7
变成	v	7.52	8
措施	n	7.48	6
成长	vn	7.48	9
数据	n	7.48	6
好像	v	7.48	6
变异	n	7.48	6
双胞胎	n	7.48	6
艾滋	nr2	7.46	4
伦理审查	n_new	7.46	4
结果	n	7.44	7
枪毙	v	7.44	7
尝试	v	7.43	6
资格	n	7.43	15
关系	n	7.38	5
成果	n	7.38	5
建议	v	7.38	5
能够	v	7.38	5
准备	v	7.38	5
母亲	n	7.38	5
媒体	n	7.38	5
角度	n	7.38	5
动物	n	7.38	5
灭绝	vi	7.38	5
什么样	n_new	7.33	6
意思	n	7.32	17
当做	v	7.30	6
未来	t	7.28	53
违法	vi	7.20	10
健康	an	7.19	19
全人类负责	n_new	7.05	13
长大	vi	6.95	12
一辈子	mq	6.90	32
美国	nsf	6.86	6
娜娜	nr2	6.74	31
死	v	6.63	45
下去	vf	6.56	10
打开	v	6.49	10
受到	v	6.48	7
带来	v	6.48	7
理解	v	6.48	7
允许	v	6.48	7
想到	v	6.48	7
魔盒	n_new	6.46	11
可怜	v	6.43	6
违背伦理	n_new	6.40	5
时间	n	6.36	5
接受	v	6.35	5
讨论	vn	6.35	5
是否	v	6.35	5
估计	v	6.35	5
医学	n	6.35	5
感染	v	6.35	5
歧视	v	6.35	5
炸弹	n	6.35	5
注定	v	6.35	5
进化	vi	6.35	5
保证	v	6.32	7
身体	n	6.32	5
面临	v	6.31	6
科学界	n	6.31	6
变态	n	6.31	6
生	v	6.31	42
负	v	6.28	77
代表	n	6.22	4
决定	v	6.22	4
知识	n	6.22	4
个人	n	6.22	4
面对	v	6.22	4
犯罪	vn	6.22	4
说明	vn	6.22	4
只能	v	6.22	4
修改	v	6.22	4
人权	n	6.22	4
心理	n	6.22	4
危害	vn	6.22	4
传播	v	6.22	4
评论	n	6.22	4
观察	v	6.22	4
谴责	v	6.22	4
区别	n	6.22	4
监控	vn	6.22	4
克隆	v	6.22	4
跟踪	v	6.22	4
胚胎	n	6.22	4
毁灭	v	6.22	4
错别字	n	6.22	4
免责	vn	6.22	4
活体实验	n_new	6.17	4
上帝	n	6.17	8
教育	vn	6.14	5
反对	v	6.13	5
代价	n	6.13	5
祸害	n	6.13	5
请问	v	6.13	11
露娜娜	n_new	5.95	3
活	v	5.82	37
么久	nrf	5.68	3
所谓	v	5.46	15
正常	a	5.42	13
急功近利	vl	5.33	5
病毒	n	5.33	6
造成	v	5.31	8
事件	n	5.25	3
智商	n	5.25	3
自以为是	vl	5.25	5
狂人	n	5.17	3
现在	t	5.17	28
方面	n	5.15	4
实现	v	5.14	4
作用	n	5.14	4
人们	n	5.14	4
拥有	v	5.14	4
老师	n	5.14	4
死亡	vi	5.14	4
明白	v	5.14	4
草原	n	5.14	4
担负	v	5.14	4
等待	v	5.14	4
姐妹	n	5.14	4
看待	v	5.14	4
缺陷	n	5.14	4
算是	v	5.14	4
子孙后代	n	5.14	4
后悔	v	5.14	4
放屁	v	5.14	4
告诉	v	5.11	5
不能	v	5.07	6
办法	n	5.03	5
演讲	vn	5.03	5
逮捕	v	5.03	5
香蕉	n	5.03	5
小孩	n	5.02	7
情况	n	4.98	10
国际	n	4.96	3
地区	n	4.96	3
表示	v	4.96	3
规定	n	4.96	3
信息	n	4.96	3
危机	n	4.96	3
新闻	n	4.96	3
创造	v	4.96	3
内容	n	4.96	3
调查	v	4.96	3
力量	n	4.96	3
保障	v	4.96	3
先生	n	4.96	3
目的	n	4.96	3
相信	v	4.96	3
文章	n	4.96	3
网络	n	4.96	3
不可	v	4.96	3
治疗	v	4.96	3
生存	vi	4.96	3
失去	v	4.96	3
比如	v	4.96	3
警察	n	4.96	3
反应	n	4.96	3
回来	v	4.96	3
失败	vi	4.96	3
指责	v	4.96	3
等于	v	4.96	3
金钱	n	4.96	3
伤害	vn	4.96	3
进去	vf	4.96	3
犯罪分子	n	4.96	3
不止	v	4.96	3
监视	v	4.96	3
优胜劣汰	vl	4.96	3
免疫	vn	4.96	3
抵抗	v	4.96	3
直播	v	4.96	3
