Word	Part-Of-Speech	Weight	Frequency
基因	n	96.15	270
人类	n	87.51	255
什么	n_new	54.77	163
可以	v	47.82	87
没有	v	47.70	93
孩子	n	47.12	172
技术	n	40.94	106
实验	n	40.55	131
中国	ns	36.76	93
可能	v	34.12	55
科学家	n	30.49	55
觉得	v	30.41	72
疾病	n	30.33	62
改变	v	29.85	46
遗传病	n	29.71	59
伦理	n	29.22	51
研究	v	27.54	39
问题	n	26.26	58
应该	v	25.78	44
遗传疾病	n_new	24.96	18
贺建奎	nr	24.53	8
家庭	n	24.50	50
支持	v	23.71	47
基因编辑	n_new	23.53	35
科技	n	23.20	38
编辑	n	23.18	38
世界	n	23.15	40
    	n	22.93	32
改造	v	22.89	38
道德	n	21.89	51
发展	vn	21.17	36
出来	vf	20.67	40
就是	v	20.51	38
婴儿	n	20.48	41
评论	n	20.47	29
影响	v	19.73	24
知道	v	19.39	73
生命	n	19.17	36
英语	nz	18.85	42
开始	v	18.82	23
后果	n	18.79	31
改基因	n_new	18.62	9
进化	vi	18.61	24
国家	n	18.58	25
需要	v	18.07	27
进行	vx	17.99	18
选择	v	17.98	21
历史	n	17.72	27
进步	vn	17.70	27
尼玛	ns	17.68	6
感觉	n	17.16	32
成为	v	17.12	17
伦理道德	n_new	17.10	18
控制	v	17.09	18
出现	v	17.03	28
基因库	n_new	16.73	10
希望	v	16.45	25
全人类	n	16.12	19
父母	n	16.11	20
社会	n	16.05	22
证明	v	16.01	23
发生	v	15.99	22
反对	v	15.96	21
治疗	vn	15.29	16
突破	vn	14.92	23
底线	n	14.78	44
一个	mq	14.77	98
帮助	v	14.57	13
创造	v	14.38	21
解决	v	14.34	15
生物	n	14.33	13
是否	v	14.21	23
科学	a	14.12	46
整个人类	n_new	13.76	15
事情	n	13.58	30
病毒	n	13.51	13
视频	n	13.50	18
无法	vd	13.48	12
电影	n	13.47	29
医学	n	13.44	11
出生	vi	13.40	18
富人	n	13.35	14
修改基因	n_new	12.82	7
法律	n	12.66	17
认为	v	12.65	14
莆田系	n_new	12.63	4
违背自然规律	n_new	12.63	4
起来	vf	12.62	49
生化危机	n_new	12.61	10
想想	v	12.56	16
保证	v	12.56	25
魔盒	n_new	12.51	22
考虑	v	12.50	17
使用	v	12.49	10
同意	v	12.41	13
人体实验	n_new	12.36	13
修改	vn	12.34	17
疯子	n	12.23	16
带来	v	12.20	15
风险	n	12.06	17
艾滋	nr2	11.67	12
设计	v	11.64	11
人家	n	11.60	11
负责	v	11.58	16
了解	v	11.58	10
舆论	n	11.57	10
遗传	vi	11.55	35
英文	nz	11.54	26
生活	vn	11.52	12
动物	n	11.51	12
脱靶	v	11.48	12
物种	n	11.47	13
不可	v	11.46	10
微博	n_new	11.46	9
变异	n	11.15	16
变成	v	11.14	14
长大	vi	10.99	14
超人	n	10.86	9
违背	v	10.84	17
人体	n	10.71	13
负责任	n_new	10.70	6
灭亡	vi	10.69	9
结果	n	10.63	15
害怕	v	10.63	11
霍金	nrf	10.63	5
确定	v	10.62	12
关系	n	10.60	9
接受	v	10.60	11
医院	n	10.59	9
还要	v	10.59	9
估计	v	10.59	9
地球	n	10.59	9
癌症	n	10.59	9
枪毙	v	10.59	9
时间	n	10.55	10
后代	n	10.51	16
转基因	n	10.50	13
看到	v	10.44	10
下一代	n	10.44	12
存在	v	10.43	11
没有得到	n_new	10.37	3
脱靶效应	n_new	10.36	3
洗脑	n_new	10.36	3
明知道	n_new	10.36	3
闭嘴	n_new	10.36	24
利益	n	10.36	13
想到	v	10.31	12
科幻	n	10.27	23
自然法则	n_new	10.19	4
牛逼	n_new	10.15	8
现在	t	10.13	58
超级人类	n_new	10.01	10
还有许多	n_new	9.94	5
自然	d	9.91	40
大自然	n	9.89	12
失败	vi	9.84	17
健康	a	9.78	31
谴责	v	9.60	13
拥有	v	9.59	8
医生	n	9.59	8
胚胎	n	9.59	8
试管婴儿	n	9.59	8
人们	n	9.53	10
变态	n	9.52	8
博士	n	9.51	7
全世界	n	9.51	7
不能	v	9.50	9
处理	v	9.45	8
艾滋病	n	9.45	8
免疫	vn	9.45	8
还有	v	9.45	17
权利	n	9.42	9
拯救	v	9.41	10
已经	d	9.40	35
优胜劣汰	vl	9.39	11
意义	n	9.34	12
水平	n	9.33	9
下去	vf	9.26	13
饱受	v	9.16	13
以为	v	9.12	16
时候	n	9.09	35
么	nr1	9.03	215
打开	v	9.01	21
违背伦理	n_new	8.98	6
掌控	n_new	8.85	5
基因工程	n_new	8.85	5
口语	n	8.80	10
中文	nz	8.76	33
丧尸	n_new	8.76	6
细思极恐	n_new	8.74	7
东西	n	8.73	23
建议	n	8.70	9
克隆	vn	8.70	9
教授	n	8.68	7
战争	n	8.60	8
死亡	vi	8.60	8
领域	n	8.56	7
因素	n	8.56	7
破坏	v	8.56	7
穷人	n	8.56	7
所谓	v	8.55	11
上帝	n	8.53	15
违反	v	8.51	8
灾难	n	8.49	12
媒体	n	8.47	6
打破	v	8.47	6
牺牲	v	8.47	6
抵制	v	8.47	6
延续	v	8.47	6
患病	vi	8.47	6
人性	n	8.47	6
科学界	n	8.47	6
告诉	v	8.46	8
相信	v	8.46	8
导致	v	8.46	8
造成	v	8.42	11
获得	v	8.40	7
造福	v	8.40	7
正常人	n	8.40	7
淘汰	v	8.39	21
小孩	n	8.36	12
一代	n	8.27	8
指责	v	8.27	8
携带	v	8.27	8
技术早就	n_new	8.26	3
