Word	Part-Of-Speech	Weight	Frequency
基因	n	53.86	117
人类	n	41.71	75
什么	n_new	31.04	49
可能	v	28.75	62
基因编辑	n_new	25.83	35
贺建奎	nr	24.34	5
国家	n	22.27	28
可以	v	20.70	26
基因突变	n_new	20.37	21
技术	n	20.00	36
孩子	n	19.77	47
问题	n	19.31	35
婴儿	n	19.11	35
编辑	v	17.83	23
实验	vn	17.77	35
基因变异	n_new	16.76	8
基因库	n_new	16.68	6
    	n	16.18	12
知道	v	16.03	46
出来	vf	14.45	18
生物	n	14.39	14
生活	vn	14.31	14
改变	v	14.27	19
影响	vn	14.12	18
人类基因库	n_new	13.63	11
研究	v	13.42	15
生育	v	13.25	18
没有	d	13.07	50
毁灭人类	n_new	12.63	4
伦理	n	12.62	17
结婚生子	n_new	12.61	10
应该	v	12.57	19
突变	vi	12.52	14
评论	vn	12.48	14
污染	vn	12.46	15
发展	v	12.45	14
后果	n	12.23	18
结婚	vi	11.57	12
道德	n	11.51	12
社会	n	11.50	11
无法	vd	11.46	10
自然	n	11.43	11
出现	v	11.37	14
禁止	v	11.35	12
动物	n	10.63	11
觉得	v	10.63	19
进步	vi	10.60	11
保护	v	10.59	9
长大	vi	10.59	9
改造	v	10.55	10
法律	n	10.51	10
肯定	v	10.46	11
资本主义国家	n_new	10.37	3
微博	n_new	10.21	8
么多	nrf	9.65	2
克隆	v	9.64	15
世界	n	9.63	9
进行	vx	9.60	8
科技	n	9.59	8
科学家	n	9.59	8
脱靶	v	9.59	13
了解	v	9.53	10
时代	n	9.45	8
生命	n	9.45	8
免疫	vn	9.38	9
物种	n	9.33	9
底线	n	9.29	11
伦理道德	n_new	8.98	6
比如	v	8.73	10
疾病	n	8.58	9
医学	n	8.56	7
出生	vi	8.54	10
未知	v	8.53	15
绝育	v	8.51	8
保证	v	8.47	6
讨论	v	8.47	6
学历	n	8.47	6
想想	v	8.47	6
穷人	n	8.46	8
造成	v	8.45	9
发生	v	8.32	8
违法	vi	8.28	9
实验失败	n_new	8.26	3
免疫艾滋病	n_new	8.26	3
基因缺陷	n_new	8.26	3
基因池	n_new	8.26	3
中国	ns	8.24	6
变异	n	8.19	13
什么样	n_new	7.85	5
回复	v	7.76	176
努力活	n_new	7.76	2
改基因	n_new	7.76	2
无法想象	n_new	7.76	2
动物身上	n_new	7.76	2
违背道德	n_new	7.76	2
高中生物	n_new	7.76	2
人伦道德	n_new	7.76	2
人类灭亡	n_new	7.76	2
事情	n	7.66	8
