Word	Part-Of-Speech	Weight	Frequency
基因	n	47.37	90
人类	n	39.25	72
什么	n_new	34.07	45
实验	vn	33.29	55
没有	v	32.00	52
可以	v	21.76	28
技术	n	21.67	35
研究	v	21.59	24
莆田系医院	n_new	21.48	5
问题	n	21.33	34
伦理	n	20.42	35
可能	v	19.59	34
    	n	19.48	20
孩子	n	17.80	33
中国	ns	17.72	21
知道	v	17.20	35
就是	v	17.03	22
国家	n	16.27	15
出来	vf	15.37	20
婴儿	n	15.28	15
觉得	v	15.19	23
自然	n	14.37	22
发展	v	14.08	22
美国	nsf	14.02	17
支持	v	13.56	17
编辑	n	13.49	15
科学家	n	13.45	13
禁止	v	13.12	18
改变基因	n_new	12.88	5
试验	vn	12.48	10
进化	vi	12.36	14
艾滋	nr2	12.19	17
需要	v	11.60	11
贺建奎	nr	11.58	2
病毒	n	11.57	10
改造	v	11.48	14
伦理道德	n_new	11.42	7
违背伦理	n_new	11.34	8
疾病	n	11.24	12
存在	v	10.71	13
社会	n	10.70	11
感染	v	10.66	9
胚胎	n	10.66	10
生物	n	10.64	13
科学	n	10.62	12
还是	v	10.53	8
人体	n	10.53	8
活体	n_new	10.49	5
医学	n	10.47	9
战狼	n_new	10.36	3
活体实验	n_new	9.85	9
开始	v	9.67	9
看到	v	9.67	9
智商	n	9.67	9
么多	nrf	9.65	2
看看	v	9.62	9
上帝	n	9.57	13
进行	vx	9.52	7
动物	n	9.51	7
改变	v	9.47	12
评论	vn	9.44	12
进步	vn	9.33	9
后果	n	9.33	11
基因编辑	n_new	9.04	7
实验品	n_new	8.85	7
一个	mq	8.56	36
应该	v	8.56	7
东西	n	8.56	7
疫苗	n	8.56	7
变异	n	8.56	7
世界	n	8.52	8
地球	n	8.47	6
遗传	vi	8.47	6
受精卵	n	8.47	10
傻子	n	8.46	8
感觉	n	8.45	9
底线	n	8.45	9
事情	n	8.29	18
只是没有	n_new	8.26	3
传播	vn	8.13	9
组织培养	n_new	7.76	2
方面入手	n_new	7.76	2
实验目前	n_new	7.76	2
了解一下	n_new	7.76	2
优秀基因	n_new	7.76	2
论证明白	n_new	7.76	2
高中生物	n_new	7.76	2
猴子身上	n_new	7.76	2
什么样	n_new	7.76	2
秀智商	n_new	7.76	2
明白	v	7.60	7
医院	n	7.51	10
电影	n	7.48	6
监管	vn	7.48	6
约束	vn	7.48	6
免疫	vn	7.48	6
失败	vi	7.45	9
违法	vi	7.38	7
解决	v	7.38	5
起来	vf	7.38	5
产生	v	7.38	5
选择	v	7.38	5
反对	v	7.38	5
相关	vn	7.38	5
以为	v	7.38	5
牺牲	v	7.38	5
发育	vi	7.38	5
领域	n	7.30	6
风险	n	7.30	6
修改	v	7.30	6
身体	n	7.30	6
估计	v	7.30	6
无法	v	7.28	7
愿意	v	7.24	9
试验品	n	7.22	7
现在	t	7.09	38
_	n	6.80	46
回复	v	6.77	146
无知	a	6.67	13
出现	v	6.56	9
影响	vn	6.50	6
行为	n	6.50	6
尊重	v	6.50	6
能力	n	6.48	7
还有	v	6.48	7
意义	n	6.43	6
下去	vf	6.43	6
细胞	n	6.43	6
创造	v	6.42	7
方面	n	6.36	5
了解	vn	6.36	5
掌握	v	6.35	5
人生	n	6.35	5
比如	v	6.35	5
想象	v	6.35	5
宝宝	n	6.35	5
涉及	v	6.31	6
多样性	n	6.31	6
方法	n	6.24	6
我国	n	6.22	4
保护	vn	6.22	4
新闻	n	6.22	4
贡献	n	6.22	4
接受	v	6.22	4
责任	n	6.22	4
科研	n	6.22	4
程度	n	6.22	4
突破	vn	6.22	4
承担	v	6.22	4
所谓	v	6.22	4
父母	n	6.22	4
表达	v	6.22	4
数据	n	6.22	4
好事	n	6.22	4
担心	v	6.22	4
全世界	n	6.22	4
缺陷	n	6.22	4
纳粹	n	6.22	4
生育	vn	6.22	4
没法	v	6.22	4
试管婴儿	n	6.22	4
网友	n	6.22	4
人体实验	n_new	6.17	4
道理	n	6.13	5
只是	v	5.99	6
调整者	n_new	5.99	9
人民网	nt	5.95	3
转基因食品	n_new	5.95	3
么	nr1	5.72	54
微博	n_new	5.69	9
时候	n	5.65	13
批准	v	5.33	5
诞生	vi	5.33	5
白鼠	n_new	5.32	9
宝蓝	nr	5.26	2
办法	n	5.25	5
用于	v	5.25	5
组织	v	5.14	4
历史	n	5.14	4
学习	v	5.14	4
资源	n	5.14	4
个人	n	5.14	4
培养	v	5.14	4
生命	n	5.14	4
不能	v	5.14	4
事实	n	5.14	4
权利	n	5.14	4
人权	n	5.14	4
出生	vi	5.14	4
论证	v	5.14	4
想法	n	5.14	4
后代	n	5.14	4
穷人	n	5.14	4
灭亡	vi	5.14	4
人伦	n	5.14	4
必然	n	5.07	6
一生	n	5.03	5
物种	n	5.03	5
不要	d	4.97	11
群众	n	4.96	3
部门	n	4.96	3
教育	vn	4.96	3
报道	v	4.96	3
认为	v	4.96	3
思想	n	4.96	3
希望	n	4.96	3
继续	v	4.96	3
发生	v	4.96	3
保证	v	4.96	3
文明	n	4.96	3
结果	n	4.96	3
控制	v	4.96	3
拥有	v	4.96	3
相信	v	4.96	3
是否	v	4.96	3
做出	v	4.96	3
事件	n	4.96	3
证明	v	4.96	3
导致	v	4.96	3
同意	v	4.96	3
只能	v	4.96	3
个体	n	4.96	3
变成	v	4.96	3
成长	vi	4.96	3
检验	v	4.96	3
本质	n	4.96	3
名字	n	4.96	3
手术	n	4.96	3
检测	v	4.96	3
说话	vi	4.96	3
信仰	vn	4.96	3
监控	vn	4.96	3
毫无	v	4.96	3
伤害	vn	4.96	3
层面	n	4.96	3
例子	n	4.96	3
时光	n	4.96	3
无关	v	4.96	3
复制	v	4.96	3
想想	v	4.96	3
全人类	n	4.96	3
堕胎	vi	4.96	3
头像	n	4.96	3
艾滋病毒	n	4.96	3
未知	vn	4.96	3
克隆羊	n	4.96	3
统治阶级	nl	4.96	3
恶魔	n	4.96	3
受精	vi	4.96	3
疯子	n	4.96	3
法律	n	4.87	4
食物	n	4.86	4
判刑	vi	4.86	4
死	v	4.81	13
怕	v	4.81	13
正常	a	4.76	7
一	m	4.57	104
造福人类	n_new	4.55	3
伦理审查	n_new	4.55	3
细思极恐	n_new	4.55	3
可怕	a	4.44	21
严重	ad	4.28	7
直接	ad	4.23	6
完全	ad	4.23	6
清楚	a	4.23	6
快乐	a	4.23	6
生物学界	n_new	4.21	2
生下来	n_new	4.21	2
基因片段	n_new	4.21	2
编码区	n_new	4.21	2
